EstimatedPropertyValue,Status,PropertyState
80000,2,MI
80000,2,MI
120000,1,IN
750000,2,CA
180000,2,MN
375000,2,MI
375000,2,MI
375000,2,MI
375000,2,MI
375000,2,MI
375000,2,FL
375000,2,FL
375000,2,FL
325000,1,WI
250000,1,VA
350000,1,MD
1000000,2,MA
1000000,2,MA
1000000,2,MA
1000000,2,MA
1000000,2,MA
200000,2,MI
200000,2,MI
200000,2,MI
200000,2,MI
200000,2,MI
170000,1,FL
225000,2,NC
225000,2,NC
225000,2,NC
225000,2,NC
225000,2,NC
225000,2,NC
225000,2,NC
225000,2,NC
225000,2,NC
225000,2,NC
225000,2,NC
225000,2,NC
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
200000,2,IN
160000,1,NC
600000,1,VA
550000,1,NJ
550000,2,NJ
550000,1,NJ
550000,1,NJ
550000,1,NJ
550000,2,NJ
550000,2,NJ
550000,1,NJ
275000,2,MI
275000,2,MI
275000,2,MI
90000,1,TX
180000,2,TX
180000,2,TX
180000,2,TX
180000,2,TX
180000,2,TX
180000,2,TX
180000,2,TX
180000,2,TX
400000,1,NJ
170000,1,ID
250000,2,SC
250000,2,SC
250000,2,SC
250000,2,SC
250000,2,SC
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
190000,2,PA
200000,2,PA
200000,2,PA
200000,2,PA
200000,2,PA
325000,1,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,1,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
325000,2,NV
150000,1,IA
150000,2,IA
350000,2,MI
750000,2,MD
750000,2,MD
600000,2,VA
600000,2,VA
600000,2,VA
600000,2,VA
600000,2,VA
250000,1,TX
180000,2,NC
180000,2,NC
300000,2,NY
300000,2,NY
250000,1,PA
250000,1,PA
250000,1,PA
160000,2,OH
300000,2,NJ
300000,2,NJ
300000,2,NJ
300000,2,NJ
300000,2,NJ
275000,1,FL
300000,2,NV
300000,2,NV
300000,2,NV
300000,2,NV
300000,2,NV
125000,1,AR
