Veteran,LoanAmountRequested,Status,PropertyState
0,60000,2,MI
0,60000,2,MI
0,95999,1,IN
0,385000,2,CA
0,115000,2,MN
0,135000,2,MI
0,135000,2,MI
0,135000,2,MI
0,135000,2,MI
0,135000,2,MI
0,200000,2,FL
0,200000,2,FL
0,200000,2,FL
0,220000,1,WI
0,150000,1,VA
0,305000,1,MD
1,110000,2,MA
1,110000,2,MA
1,110000,2,MA
1,110000,2,MA
1,110000,2,MA
1,204000,2,MI
1,204000,2,MI
1,204000,2,MI
1,204000,2,MI
1,204000,2,MI
0,60000,1,FL
1,180000,2,NC
1,180000,2,NC
1,180000,2,NC
1,180000,2,NC
1,180000,2,NC
1,180000,2,NC
1,180000,2,NC
1,180000,2,NC
1,180000,2,NC
1,180000,2,NC
1,180000,2,NC
1,180000,2,NC
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,125000,2,IN
0,128000,1,NC
0,400000,1,VA
0,400000,1,NJ
0,400000,2,NJ
0,400000,1,NJ
0,400000,1,NJ
0,400000,1,NJ
0,400000,2,NJ
0,400000,2,NJ
0,400000,1,NJ
0,210000,2,MI
0,210000,2,MI
0,210000,2,MI
1,85000,1,TX
0,60000,2,TX
0,60000,2,TX
0,60000,2,TX
0,60000,2,TX
0,60000,2,TX
0,60000,2,TX
0,60000,2,TX
0,60000,2,TX
1,325000,1,NJ
0,125000,1,ID
0,225000,2,SC
0,225000,2,SC
0,225000,2,SC
0,225000,2,SC
0,225000,2,SC
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,150000,2,PA
0,250000,1,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,1,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,250000,2,NV
0,60000,1,IA
0,60000,2,IA
0,300000,2,MI
0,650000,2,MD
0,650000,2,MD
0,200000,2,VA
0,200000,2,VA
0,200000,2,VA
0,200000,2,VA
0,200000,2,VA
0,135000,1,TX
0,140000,2,NC
0,140000,2,NC
0,200000,2,NY
0,200000,2,NY
0,190000,1,PA
0,190000,1,PA
0,190000,1,PA
0,119000,2,OH
0,255000,2,NJ
0,255000,2,NJ
0,255000,2,NJ
0,255000,2,NJ
0,255000,2,NJ
0,135000,1,FL
0,170000,2,NV
0,170000,2,NV
0,170000,2,NV
0,170000,2,NV
0,170000,2,NV
0,80000,1,AR
0,80000,2,AR
0,80000,1,AR
0,80000,1,AR
0,553000,2,NJ
1,450000,1,MD
0,771000,1,CO
0,771000,2,CO
0,771000,2,CO
0,771000,2,CO
0,771000,2,CO
0,325000,1,MN
0,105000,2,IL
0,105000,2,IL
0,105000,2,IL
0,105000,2,IL
0,240000,1,AZ
0,240000,2,AZ
0,240000,2,AZ
0,240000,2,AZ
0,240000,2,AZ
0,240000,2,AZ
0,240000,1,AZ
0,240000,2,AZ
0,240000,2,AZ
0,240000,2,AZ
0,240000,2,AZ
0,240000,2,AZ
1,140000,2,GA
1,140000,2,GA
0,300000,1,CO
0,180000,2,PA
0,180000,2,PA
0,180000,2,PA
0,180000,2,PA
0,75000,1,PA
1,120000,2,MA
1,120000,2,MA
1,120000,2,MA
1,120000,2,MA
1,120000,2,MA
0,160000,2,IN
0,160000,2,IN
0,160000,2,IN
0,160000,2,IN
0,160000,2,IN
0,480000,1,CO
0,170000,2,NY
0,170000,2,NY
0,170000,2,NY
0,170000,2,NY
0,170000,2,NY
0,150000,1,WI
0,115000,1,TX
0,80000,1,PA
0,80000,1,PA
0,425000,1,CA
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,250000,2,MD
0,300000,1,DE
0,300000,2,DE
0,300000,2,DE
0,300000,2,DE
0,300000,2,DE
0,135000,1,FL
0,195000,2,CA
0,195000,2,CA
0,195000,2,CA
0,195000,2,CA
0,195000,2,CA
0,80000,2,NH
0,280000,2,CO
0,280000,2,CO
0,60000,2,TX
0,60000,2,TX
0,60000,2,TX
0,60000,2,TX
0,60000,2,TX
0,135000,1,AZ
0,225000,2,CT
0,225000,2,CT
1,220000,2,FL
1,220000,2,FL
0,115681,1,NC
0,115681,1,NC
0,115681,2,NC
1,60000,1,OH
1,425000,2,CA
1,425000,2,CA
1,425000,2,CA
0,300000,1,VA
0,111000,2,TX
0,111000,2,TX
0,111000,2,TX
0,111000,2,TX
0,75000,1,NC
0,120000,1,MS
0,305000,1,MA
1,115000,1,GA
1,115000,1,GA
1,70000,2,NC
0,650000,2,CA
0,650000,2,CA
0,650000,2,CA
0,650000,2,CA
0,280000,1,CA
0,130000,2,MT
0,130000,2,MT
0,130000,2,MT
0,130000,2,MT
0,130000,2,MT
0,68000,2,AL
0,68000,2,AL
0,68000,2,AL
0,68000,2,AL
0,68000,2,AL
0,420000,1,CA
0,400000,2,NY
0,400000,2,NY
1,80000,2,FL
1,80000,2,FL
1,80000,2,FL
1,80000,2,FL
1,80000,2,FL
0,160000,2,TN
0,160000,2,TN
0,160000,2,TN
0,105000,1,TX
0,190000,2,AZ
0,190000,2,AZ
0,190000,2,AZ
0,190000,2,AZ
0,190000,2,AZ
0,95000,2,MI
0,225000,1,NC
0,60000,2,CA
0,60000,2,CA
0,60000,2,CA
0,60000,2,CA
0,60000,2,CA
0,125000,2,TX
0,125000,2,TX
0,125000,2,TX
0,125000,2,TX
0,125000,2,TX
1,65000,2,TX
1,65000,2,TX
1,65000,2,TX
0,85000,2,CO
0,85000,2,CO
0,85000,2,CO
0,85000,2,CO
0,85000,2,CO
0,85000,2,CO
0,85000,2,CO
0,180000,1,NJ
0,150000,1,UT
0,469000,2,CA
0,84000,2,KY
0,84000,2,KY
0,84000,2,KY
0,84000,2,KY
0,80000,2,WI
0,325000,2,FL
0,325000,2,FL
0,75000,2,MO
0,75000,2,MO
0,75000,2,MO
0,75000,2,MO
0,75000,2,MO
0,215000,2,VA
1,110000,1,CA
0,110000,1,TX
0,400000,1,WA
0,240000,1,HI
0,325000,1,NY
0,325000,1,NY
1,400000,2,TX
1,85000,2,FL
0,80000,2,AR
0,80000,2,AR
0,80000,2,AR
0,80000,2,AR
0,90000,1,MO
1,240000,2,TX
1,240000,2,TX
0,160000,2,WA
0,160000,2,WA
0,160000,2,WA
0,160000,2,WA
0,160000,2,WA
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,65000,2,NC
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,350000,2,CT
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,150000,2,FL
0,225000,2,NM
0,225000,2,NM
0,225000,2,NM
0,225000,2,NM
0,225000,2,NM
0,225000,1,CA
0,190000,2,FL
0,190000,2,FL
